ID_LOTE,ID_FINCA,PENDIENTE_RASTA,TERRENO_CIRCUN_RASTA,POSICION_PERFIL_RASTA,NO_CAPAS_RASTA,ESPESOR,COLOR_SECO,COLOR_HUMEDO,TEXTURA,RESIST_ROMPIMIENTO,PH_RASTA,CARBOXXTOS_RASTA,PROFUNDIDAD_CARBONATOS,PEDREG_SUPERF_PIEDRAS,PEDREG_SUPERF_ROCAS,PEDREG_PERFIL_PIEDRAS,PEDREG_PERFIL_ROCAS,HOR_PEDREG_ROCOSO_RASTA,HOR_PEDREG_ROCOSO_PROFUNDIDAD_RASTA,HOR_PEDREG_ROCOSO_ESPESOR_RASTA,PROFUND_PRIMERAS_ROCAS_PIEDRAS_RASTA (CM),CAP_ENDURE_RASTA,PROFUND_CAP_ENDURE_RASTA,ESPESOR_CAP_ENDURE_RASTA,MOTEADOS_RASTA,PROFUND_MOTEADOS_RASTA,MOTEADOS_MAS70cm _RASTA,ESTRUCTURA_RASTA,OBSERVA_EROSION_RASTA,OBSERVA_MOHO_RASTA,OBSERVA_COSTRAS_DURAS_RASTA,SITIO_EXPUESTO_SOL_RASTA,OBSERVA_COSTRAS_BLANCAS_RASTA,OBSERVA_COSTAS_NEGRAS_RASTA,REGION_SECA_ARIDA_RASTA,OBSERVA_RAICES_VIVAS_RASTA,OBSERVA_PLANTAS_PEQUENAS_RASTA,OBSERVA_HOJARASCA_MO_RASTA,SUELO_NEGRO_BLANDO_RASTA,CUCHILLO_PRIMER_HTE_RASTA,CERCA_RIOS_QUEBRADAS_RASTA,RECUBRIMIENTO_VEGETAL__SUELO_RASTA,PROFUND_RAICES_VIVAS_RASTA
1,1,10.3,ONDULADO Y MONTA?OSO,LADERA PLANA,1,17,NA,5,AF,FRIABLE,6,NO TIENE,NA,PEDREGOSO/ROCOSO,PEDREGOSO,PEDREGOSO,NA,SI,16,"8,9,15",5,XX,NA,NA,NO,NA,NO,GRANULAR,NO,NO,MUY MARCADAS,LA MANANA,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,SI,NO,SI,NO,BUENO,70
1,1,10.3,ONDULADO Y MONTA?OSO,LADERA PLANA,2,25,NA,5,AF,FRIABLE,6,NO TIENE,NA,PEDREGOSO/ROCOSO,PEDREGOSO,PEDREGOSO,NA,SI,16,"8,9,15",5,XX,NA,NA,NO,NA,NO,GRANULAR,NO,NO,MUY MARCADAS,LA MANANA,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,SI,NO,SI,NO,BUENO,70
1,1,10.3,ONDULADO Y MONTA?OSO,LADERA PLANA,3,33,NA,6,AF,FRIABLE,6,NO TIENE,NA,PEDREGOSO/ROCOSO,PEDREGOSO,PEDREGOSO,NA,SI,16,"8,9,15",5,XX,NA,NA,NO,NA,NO,GRANULAR,NO,NO,MUY MARCADAS,LA MANANA,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,SI,NO,SI,NO,BUENO,70
2,2,7.5,ONDULADO Y MONTA?OSO,PIE DE UNA ELEVACION,1,15,NA,2,FA,FIRME,6,NO TIENE,NA,PEDREGOSO/ROCOSO,PEDREGOSO,PEDREGOSO,NA,SI,NA,5,5,XX,NA,NA,SI,40,NO,GRANULAR,NO,NO,POCO MARCADAS,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,SI,NO,SI,SI,REGULAR,45
2,2,7.5,ONDULADO Y MONTA?OSO,PIE DE UNA ELEVACION,2,40,NA,17,FA,FIRME,6,NO TIENE,NA,PEDREGOSO/ROCOSO,PEDREGOSO,PEDREGOSO,NA,SI,NA,5,5,XX,NA,NA,SI,40,NO,GRANULAR,NO,NO,POCO MARCADAS,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,SI,NO,SI,SI,REGULAR,45
3,3,8.2,MONTA?OSO,LADERA PLANA,1,37,NA,2,Far,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,GRANULAR,NO,NO,POCO MARCADAS,LA MANANA,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,SI,NO,SI,NO,BUENO,70
3,3,8.2,MONTA?OSO,LADERA PLANA,2,40,NA,35,Ar,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,GRANULAR,NO,NO,POCO MARCADAS,LA MANANA,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,SI,NO,SI,NO,BUENO,70
4,4,1.9,MONTA?OSO,LADERA PLANA,1,29,NA,14,ArA,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,COLUMNAR,NO,NO,POCO MARCADAS,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,SI,NO,SI,NO,REGULAR,60
4,4,1.9,MONTA?OSO,LADERA PLANA,2,42,NA,25,ArA,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,COLUMNAR,NO,NO,POCO MARCADAS,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,SI,NO,SI,NO,REGULAR,60
5,5,9.3,MONTA?OSO,LADERA PLANA,1,23,NA,3,F,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,COLUMNAR,NO,NO,POCO MARCADAS,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,SI,NO,SI,NO,REGULAR,65
5,5,9.3,MONTA?OSO,LADERA PLANA,2,15,NA,33,Ar,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,COLUMNAR,NO,NO,POCO MARCADAS,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,SI,NO,SI,NO,REGULAR,65
5,5,9.3,MONTA?OSO,LADERA PLANA,3,28,NA,34,Ar,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,COLUMNAR,NO,NO,POCO MARCADAS,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,SI,NO,SI,NO,REGULAR,65
6,6,7.9,MONTA?OSO,LADERA PLANA,1,35,NA,3,FA,FRIABLE,4,BAJOS A MUY BAJOS,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,55,55,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA TARDE,NO HAY,NO HAY,NO,SI,MUY AFECTADAS,SI,NO,SI,NO,BUENO,55
6,6,7.9,MONTA?OSO,LADERA PLANA,2,20,NA,9,FA,FRIABLE,4,BAJOS A MUY BAJOS,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,55,55,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA TARDE,NO HAY,NO HAY,NO,SI,MUY AFECTADAS,SI,NO,SI,NO,BUENO,55
7,7,7.1,MONTA?OSO,LADERA PLANA,1,25,NA,2,F,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,GRANULAR,NO,NO,POCO MARCADAS,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,NO,NO,SI,NO,REGULAR,70
7,7,7.1,MONTA?OSO,LADERA PLANA,2,22,NA,20,Fl,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,GRANULAR,NO,NO,POCO MARCADAS,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,NO,NO,SI,NO,REGULAR,70
7,7,7.1,MONTA?OSO,LADERA PLANA,3,33,NA,24,Fl,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,GRANULAR,NO,NO,POCO MARCADAS,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,NO,NO,SI,NO,REGULAR,70
8,8,14.3,ONDULADO Y MONTA?OSO,LADERA PLANA,1,38,NA,1,Far,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,COLUMNAR,NO,NO,POCO MARCADAS,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,SI,NO,SI,NO,BUENO,70
8,8,14.3,ONDULADO Y MONTA?OSO,LADERA PLANA,2,34,NA,14,Far,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,COLUMNAR,NO,NO,POCO MARCADAS,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,SI,NO,SI,NO,BUENO,70
9,9,9.1,ONDULADO Y MONTA?OSO,LADERA CONVEXA,1,23,NA,2,F,FRIABLE,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,GRANULAR,NO,NO,POCO MARCADAS,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,NO,NO,SI,NO,ESPACIADO,55
9,9,9.1,ONDULADO Y MONTA?OSO,LADERA CONVEXA,2,51,NA,15,Far,FRIABLE,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,GRANULAR,NO,NO,POCO MARCADAS,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,NO,NO,SI,NO,ESPACIADO,55
10,10,10.3,MONTA?OSO,LADERA CONCAVA,1,16,NA,2,F,FRIABLE,5,NO TIENE,NA,PEDREGOSO,PEDREGOSO,PEDREGOSO,NA,SI,36,10,5,XX,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,SI,NO,SI,NO,BUENO,60
10,10,10.3,MONTA?OSO,LADERA CONCAVA,2,25,NA,15,Fl,FRIABLE,5,NO TIENE,NA,PEDREGOSO,PEDREGOSO,PEDREGOSO,NA,SI,36,10,5,XX,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,SI,NO,SI,NO,BUENO,60
10,10,10.3,MONTA?OSO,LADERA CONCAVA,3,32,NA,25,Fl,FRIABLE,5,NO TIENE,NA,PEDREGOSO,PEDREGOSO,PEDREGOSO,NA,SI,36,10,5,XX,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,SI,NO,SI,NO,BUENO,60
11,11,14.1,MONTA?OSO,LADERA PLANA,1,25,NA,1,Fl,FIRME,6,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,SIN ESTRUCTURA,NO,NO,POCO MARCADAS,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,SI,NO,SI,NO,BUENO,60
11,11,14.1,MONTA?OSO,LADERA PLANA,2,38,NA,22,Fl,FIRME,6,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,SIN ESTRUCTURA,NO,NO,POCO MARCADAS,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,SI,NO,SI,NO,BUENO,60
12,12,34,ONDULADO Y MONTA?OSO,PLANO CON ONDULACIONES,1,33,NA,1,F,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,,GRANULAR,NO,NO,POCO MARCADAS,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,SI,NO,SI,NO,BUENO,70
12,12,34,ONDULADO Y MONTA?OSO,PLANO CON ONDULACIONES,2,39,NA,25,Fl,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,,GRANULAR,NO,NO,POCO MARCADAS,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,SI,NO,SI,NO,BUENO,70
13,13,34.9,ONDULADO Y MONTA?OSO,PLANO,1,23,NA,14,F,FIRME,5,NO TIENE,NA,PEDREGOSO,PEDREGOSO,PEDREGOSO,NA,SI,5,"1,2,3,6",3,XX,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,SI,NO,SI,NO,BUENO,50
13,13,34.9,ONDULADO Y MONTA?OSO,PLANO,2,50,NA,15,F,FIRME,5,NO TIENE,NA,PEDREGOSO,PEDREGOSO,PEDREGOSO,NA,SI,5,"1,2,3,6",3,XX,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,SI,NO,SI,NO,BUENO,50
14,14,34.4,ONDULADO Y MONTA?OSO,PLANO,1,17,NA,1,F,FIRME,5,NO TIENE,NA,PEDREGOSO,PEDREGOSO,PEDREGOSO,NA,NO,NA,NA,20,XX,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,SI,NO,SI,NO,BUENO,45
14,14,34.4,ONDULADO Y MONTA?OSO,PLANO,2,48,NA,20,Far,FIRME,5,NO TIENE,NA,PEDREGOSO,PEDREGOSO,PEDREGOSO,NA,NO,NA,NA,20,XX,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,SI,NO,SI,NO,BUENO,45
15,15,30.40,ONDULADO Y MONTA?OSO,PLANO CON ONDULACIONES,1,15,1,3,Fl,FIRME,5,NO TIENE,NA,PEDREGOSO/ROCOSO,PEDREGOSO,PEDREGOSO,NA,SI,5,"5,10",1,XX,NA,NA,NO,NA,NO,SIN ESTRUCTURA,NO,SI,POCO MARCADAS,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,MUY AFECTADAS,NO,NO,SI,NO,ESPACIADO,58
15,15,30.40,ONDULADO Y MONTA?OSO,PLANO CON ONDULACIONES,2,48,6,5,Fl,FIRME,5,NO TIENE,NA,PEDREGOSO/ROCOSO,PEDREGOSO,PEDREGOSO,NA,SI,5,"5,10",1,XX,NA,NA,NO,NA,NO,SIN ESTRUCTURA,NO,SI,POCO MARCADAS,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,MUY AFECTADAS,NO,NO,SI,NO,ESPACIADO,58
16,16,7.6,MONTA?OSO,LADERA PLANA,1,25,NA,3,Fl,FRIABLE,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,SI,60,,SIN ESTRUCTURA,NO,NO,NO HAY,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,SI,SI,SI,NO,MUY BUENO,72
16,16,7.6,MONTA?OSO,LADERA PLANA,2,23,NA,6,F,FRIABLE,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,SI,60,,SIN ESTRUCTURA,NO,NO,NO HAY,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,SI,SI,SI,NO,MUY BUENO,72
16,16,7.6,MONTA?OSO,LADERA PLANA,3,25,NA,28,ArA,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,SI,60,,SIN ESTRUCTURA,NO,NO,NO HAY,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,SI,SI,SI,NO,MUY BUENO,72
17,17,10.9,MONTA?OSO,LADERA PLANA,1,28,NA,2,F,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,SI,SI,SI,NO,BUENO,70
17,17,10.9,MONTA?OSO,LADERA PLANA,2,43,NA,28,FA,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,SI,SI,SI,NO,BUENO,70
18,18,24.1,ONDULADO Y MONTA?OSO,LADERA PLANA,1,17,NA,5,F,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,GRANULAR,NO,NO,POCO MARCADAS,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,NO HAY,NO,NO,SI,NO,REGULAR,59
18,18,24.1,ONDULADO Y MONTA?OSO,LADERA PLANA,2,49,NA,28,FA,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,GRANULAR,NO,NO,POCO MARCADAS,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,NO HAY,NO,NO,SI,NO,REGULAR,59
19,19,NA,ONDULADO Y MONTA?OSO,LADERA PLANA,2,18,NA,15,Fl,Plastico,8,NO TIENE,NA,SIN ROCAS,SIN ROCAS,SIN ROCAS,NA,SI,7,"3,4,5",NA,XX,NA,NA,NO,NA,NO,SIN ESTRUCTURA,NO,NO,NO HAY,LA MANANA y LA TARDE,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,NO,NO,SI,NO,MUY BUENO,50
19,19,NA,ONDULADO Y MONTA?OSO,LADERA PLANA,3,27,NA,22,Fl,Plastico,8,NO TIENE,NA,SIN ROCAS,SIN ROCAS,SIN ROCAS,NA,SI,7,"3,4,5",NA,XX,NA,NA,NO,NA,NO,SIN ESTRUCTURA,NO,NO,NO HAY,LA MANANA y LA TARDE,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,NO,NO,SI,NO,MUY BUENO,50
20,20,25.9,MONTA?OSO,LADERA PLANA,1,10,NA,4,F,blando,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRAS,NA,NO,NA,NA,NA,,NA,NA,SI,15,NO,SIN ESTRUCTURA,NO,NO,NO HAY,LA MANANA y LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,NO,NO,SI,NO,ESPACIADO,40
20,20,25.9,MONTA?OSO,LADERA PLANA,2,11,NA,8,L,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRAS,NA,NO,NA,NA,NA,XX,NA,NA,SI,15,NO,SIN ESTRUCTURA,NO,NO,NO HAY,LA MANANA y LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,NO,NO,SI,NO,ESPACIADO,40
20,20,25.9,MONTA?OSO,LADERA PLANA,3,30,NA,7,L,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRAS,NA,NO,NA,NA,NA,XX,NA,NA,SI,15,NO,SIN ESTRUCTURA,NO,NO,NO HAY,LA MANANA y LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,NO,NO,SI,NO,ESPACIADO,40
20,20,25.9,MONTA?OSO,LADERA PLANA,4,21,NA,9,L,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRAS,NA,NO,NA,NA,NA,XX,NA,NA,SI,15,NO,SIN ESTRUCTURA,NO,NO,NO HAY,LA MANANA y LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,NO,NO,SI,NO,ESPACIADO,40
22,22,9.5,ONDULADO Y MONTA?OSO,LADERA PLANA,1,18,NA,6,F,FRIABLE,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRAS,NA,NO,NA,NA,NA,SI,24,NA,NO,NA,,SIN ESTRUCTURA,NO,NO,NO HAY,LA MANANA y LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,SI,NO,SI,NO,MUY BUENO,60
22,22,9.5,ONDULADO Y MONTA?OSO,LADERA PLANA,2,13,NA,15,Far,FRIABLE,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRAS,NA,NO,NA,NA,NA,SI,24,NA,NO,NA,,SIN ESTRUCTURA,NO,NO,NO HAY,LA MANANA y LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,SI,NO,SI,NO,MUY BUENO,60
22,22,9.5,ONDULADO Y MONTA?OSO,LADERA PLANA,3,16,NA,14,AF,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRAS,NA,NO,NA,NA,NA,SI,24,NA,NO,NA,,SIN ESTRUCTURA,NO,NO,NO HAY,LA MANANA y LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,SI,NO,SI,NO,MUY BUENO,60
22,22,9.5,ONDULADO Y MONTA?OSO,LADERA PLANA,4,24,NA,24,Far,FRIABLE,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRAS,NA,NO,NA,NA,NA,SI,24,NA,NO,NA,,SIN ESTRUCTURA,NO,NO,NO HAY,LA MANANA y LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,SI,NO,SI,NO,MUY BUENO,60
23,23,6.4,MONTA?OSO,CIMA,1,20,NA,3,F,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRAS,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,SIN ESTRUCTURA,NO,NO,NO HAY,LA TARDE,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,SI,NO,SI,NO,BUENO,70
23,23,6.4,MONTA?OSO,CIMA,2,19,NA,12,FA,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRAS,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,SIN ESTRUCTURA,NO,NO,NO HAY,LA TARDE,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,SI,NO,SI,NO,BUENO,70
23,23,6.4,MONTA?OSO,CIMA,3,13,NA,18,F,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRAS,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,SIN ESTRUCTURA,NO,NO,NO HAY,LA TARDE,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,SI,NO,SI,NO,BUENO,70
23,23,6.4,MONTA?OSO,CIMA,4,22,NA,10,Fl,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRAS,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,SIN ESTRUCTURA,NO,NO,NO HAY,LA TARDE,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,SI,NO,SI,NO,BUENO,70
24,24,25,MONTA?OSO,LADERA PLANA,1,7,NA,2,ArA,FIRME,6,NO TIENE,NA,PEDREGOSO,SIN ROCAS,SIN ROCAS,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,SIN ESTRUCTURA,NO,NO,NO HAY,LA MANANA y LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,SI,NO,SI,NO,REGULAR,50
